User_ID,Stock_ID,Stock_Name,Stock_Count
1001,STK001,Apple,50
1001,STK002,Microsoft,20
1002,STK003,Google,30
1002,STK004,Amazon,25
1003,STK001,Apple,40
1003,STK003,Google,15
1004,STK002,Microsoft,50
1004,STK005,Facebook,10
1005,STK006,Tesla,35
1006,STK007,Netflix,45
1007,STK002,Microsoft,10
1008,STK001,Apple,60
1009,STK003,Google,25
1010,STK004,Amazon,55
1011,STK005,Facebook,5
1012,STK006,Tesla,80
1013,STK007,Netflix,20
1014,STK008,Intel,40
1015,STK009,AMD,35
1016,STK010,NVIDIA,50
1017,STK011,Salesforce,25
1018,STK012,Shopify,60
1019,STK013,Adobe,70
1020,STK014,Oracle,80
1021,STK015,Cisco,90
1022,STK016,Qualcomm,45
1023,STK017,IBM,30
1024,STK018,SAP,40
1025,STK019,Siemens,50
1001,STK019,Siemens,30
1002,,,